iter	Passed	Remaining
398	283455	426959
399	284183	426274
400	284888	425556
401	285629	424891
402	286331	424169
403	287032	423443
404	287783	422793
405	288496	422086
406	289222	421397
407	289870	420596
408	290570	419871
409	291315	419210
410	292105	418612
411	293106	418316
412	294139	418062
413	295099	417700
414	296014	417272
415	296842	416720
416	297703	416213
417	298555	415692
418	299331	415063
419	300134	414471
420	300922	413857
421	301672	413191
422	302399	412492
423	303636	412486
424	304319	411726
425	305050	411030
426	305753	410296
427	306392	409477
428	307087	408734
429	307767	407971
430	308465	407231
431	309252	406609
432	309976	405904
433	310619	405093
434	311338	404382
435	311993	403588
436	312673	402826
437	313332	402038
438	314049	401325
439	314754	400597
440	315447	399853
441	316079	399032
442	316709	398210
443	317433	397506
444	318077	396703
445	318782	395975
446	319443	395195
447	320160	394482
448	320886	393782
449	321532	392984
450	322178	392186
451	322815	391377
452	323537	390673
453	324183	389876
454	324868	389128
455	325565	388393
456	326220	387610
457	326941	386904
458	327617	386146
459	328303	385399
460	329036	384709
461	329709	383947
462	330439	383252
463	331081	382456
464	331770	381714
465	332463	380977
466	333187	380276
467	333858	379514
468	334558	378785
469	335302	378106
470	335921	377287
471	336651	376593
472	337347	375860
473	338074	375162
474	338766	374426
475	339395	373620
476	340079	372875
477	340755	372122
478	341471	371412
479	342168	370682
480	342885	369974
481	343593	369256
482	344313	368550
483	345048	367861
484	345673	367054
485	346292	366243
486	346997	365522
487	347640	364737
488	348367	364040
489	349054	363302
490	349741	362562
491	350414	361810
492	351112	361082
493	351741	360286
494	352451	359571
495	353120	358816
496	353816	358087
497	354534	357382
498	355225	356649
499	355923	355923
500	356615	355192
501	357315	354468
502	358015	353744
503	358646	352954
504	359377	352260
505	360010	351472
506	360719	350758
507	361434	350051
508	362069	349265
509	362736	348511
510	363408	347762
511	364058	346993
512	364741	346255
513	365427	345521
514	366078	344753
515	366757	344012
516	367492	343325
517	368212	342622
518	368892	341882
519	369578	341149
520	370265	340416
521	370910	339646
522	371610	338925
523	372279	338177
524	372990	337467
525	373710	336765
526	374365	336005
527	375093	335310
528	375788	334586
529	376464	333846
530	377108	333076
531	377722	332282
532	378378	331524
533	379097	330822
534	379811	330116
535	380515	329401
536	381203	328672
537	381917	327966
538	382608	327240
539	383256	326478
540	383954	325758
541	384695	325075
542	385333	324304
543	386011	323568
544	386713	322852
545	387390	322115
546	388127	321429
547	388873	320749
548	389549	320012
549	390285	319324
550	390962	318588
551	391653	317863
552	392338	317134
553	393063	316437
554	393689	315660
555	394400	314952
556	395033	314182
557	395755	313483
558	396388	312714
559	397074	311987
560	397786	311280
561	398496	310571
562	399193	309853
563	399870	309119
564	400485	308338
565	401194	307629
566	401884	306906
567	402574	306183
568	403247	305447
569	403942	304728
570	404656	304023
571	405344	303299
572	406006	302556
573	406688	301828
574	407397	301120
575	408046	300367
576	408739	299647
577	409474	298958
578	410157	298232
579	410884	297537
580	411566	296809
581	412198	296046
582	412902	295335
583	413586	294609
584	414223	293851
585	415034	293215
586	415702	292479
587	416457	291803
588	417175	291102
589	417852	290372
590	418534	289645
591	419234	288932
592	419903	288196
593	420578	287465
594	421276	286751
595	421933	286008
596	422609	285279
597	423312	284567
598	423988	283838
599	424696	283131
600	425356	282391
601	426015	281651
602	426751	280962
603	427411	280223
604	428059	279476
605	428716	278736
606	429404	278016
607	430079	277288
608	430724	276540
609	431410	275819
610	432128	275119
611	432823	274404
612	433539	273702
613	434258	273002
614	434929	272273
615	435628	271560
616	436312	270838
617	436964	270097
618	437624	269361
619	438314	268644
620	438960	267900
621	439646	267180
622	440352	266473
623	441083	265781
624	441812	265087
625	442529	264386
626	443162	263635
627	443873	262931
628	444548	262205
629	445175	261452
630	445833	260717
631	446535	260008
632	447262	259313
633	447955	258599
634	448623	257870
635	449321	257158
636	450010	256442
637	450699	255726
638	451415	255024
639	452103	254307
640	452742	253563
641	453442	252854
642	454056	252096
643	454742	251379
644	455424	250660
645	456085	249929
646	456722	249185
647	457379	248453
648	457998	247700
649	458730	247008
650	459446	246308
651	460077	245562
652	460753	244841
653	461409	244109
654	462097	243394
655	462715	242643
656	463396	241925
657	464052	241194
658	464750	240485
659	465458	239781
660	466161	239075
661	466854	238363
662	467573	237665
663	468270	236956
664	468924	236224
665	469622	235516
666	470347	234821
667	470966	234073
668	471640	233352
669	472344	232647
670	473000	231918
671	473666	231194
672	474323	230466
673	475012	229753
674	475722	229051
675	476435	228350
676	477125	227639
677	477817	226928
678	478458	226193
679	479091	225454
680	479704	224707
681	480443	224019
682	481136	223309
683	481838	222603
684	482524	221890
685	483201	221173
686	483922	220477
687	484616	219767
688	485310	219059
689	485963	218331
690	486619	217605
691	487332	216905
692	488086	216222
693	488788	215517
694	489449	214794
695	490135	214082
696	490778	213351
697	491504	212656
698	492170	211936
699	492882	211235
700	493566	210522
701	494189	209784
702	494886	209077
703	495575	208366
704	496274	207660
705	496934	206938
706	497575	206208
707	498206	205475
708	498847	204745
709	499573	204051
710	500314	203362
711	500997	202650
712	501681	201938
713	502311	201206
714	502956	200479
715	503573	199741
716	504307	199050
717	505022	198351
718	505662	197623
719	506378	196924
720	507033	196202
721	507714	195491
722	508405	194783
723	509132	194089
724	509798	193371
725	510506	192670
726	511240	191978
727	511852	191241
728	512559	190539
729	513191	189810
730	513867	189097
731	514489	188364
732	515171	187654
733	515907	186963
734	516573	186247
735	517310	185557
736	518032	184860
737	518737	184158
738	519407	183444
739	520105	182739
740	520737	182012
741	521423	181303
742	522073	180582
743	522752	179871
744	523385	179145
745	524058	178432
746	524751	177727
747	525407	177009
748	526102	176304
749	526766	175588
750	527468	174886
751	528203	174194
752	528888	173486
753	529549	172770
754	530278	172077
755	530995	171379
756	531700	170677
757	532402	169975
758	533103	169272
759	533805	168570
760	534436	167845
761	535137	167142
762	535782	166422
763	536422	165701
764	537045	164974
765	537732	164268
766	538399	163555
767	539128	162861
768	539830	162159
769	540471	161439
770	541175	160738
771	541817	160018
772	542470	159302
773	543152	158595
774	543795	157876
775	544476	157168
776	545126	156452
777	545786	155738
778	546445	155025
779	547138	154321
780	547794	153607
781	548470	152898
782	549233	152214
783	549973	151523
784	550666	150819
785	551397	150126
786	552088	149421
787	552765	148713
788	553428	148001
789	554094	147291
790	554745	146576
791	555431	145870
792	556144	145172
793	556821	144465
794	557521	143763
795	558225	143062
796	558931	142362
797	559679	141673
798	560420	140981
799	561093	140273
800	561827	139580
801	562554	138884
802	563208	138171
803	563889	137465
804	564544	136753
805	565225	136046
806	565873	135332
807	566521	134618
808	567214	133915
809	567887	133208
810	568631	132517
811	569330	131815
812	570016	131110
813	570644	130393
814	571322	129686
815	571998	128980
816	572669	128272
817	573401	127578
818	574105	126877
819	574771	126169
820	575424	125457
821	576179	124768
822	576896	124071
823	577620	123375
824	578297	122669
825	578981	121964
826	579668	121260
827	580287	120542
828	580963	119836
829	581604	119123
830	582237	118409
831	582927	117706
832	583650	117010
833	584334	116306
834	585069	115612
835	585777	114913
836	586472	114211
837	587131	113502
838	587754	112787
839	588417	112079
840	589119	111379
841	589769	110669
842	590404	109956
843	591100	109255
844	591799	108555
845	592529	107859
846	593169	107148
847	593826	106440
848	594503	105736
849	595195	105034
850	595880	104331
851	596579	103631
852	597264	102928
853	597923	102221
854	598547	101508
855	599270	100811
856	599985	100114
857	600684	99413
858	601421	98719
859	602098	98016
860	602800	97316
861	603485	96613
862	604210	95917
863	604887	95213
864	605620	94518
865	606280	93812
866	606910	93101
867	607631	92404
868	608343	91706
869	609004	91000
870	609678	90296
871	610383	89597
872	611096	88899
873	611749	88192
874	612424	87489
875	613066	86781
876	613760	86080
877	614407	85373
878	615113	84674
879	615811	83974
880	616511	83274
881	617243	82579
882	617963	81881
883	618672	81183
884	619384	80485
885	620015	79776
886	620692	79073
887	621366	78370
888	622070	77671
889	622772	76971
890	623476	76272
891	624141	75568
892	624778	74861
893	625457	74159
894	626114	73454
895	626809	72754
896	627499	72054
897	628222	71357
898	628914	70656
899	629607	69956
900	630338	69260
901	631063	68563
902	631762	67863
903	632467	67164
904	633182	66466
905	633823	65760
906	634531	65062
907	635163	64355
908	635784	63648
909	636394	62940
910	637070	62238
911	637777	61539
912	638473	60840
913	639147	60138
914	639831	59437
915	640534	58738
916	641251	58041
917	641959	57342
918	642661	56643
919	643298	55939
920	643938	55234
921	644620	54534
922	645313	53834
923	645958	53130
924	646602	52427
925	647285	51726
926	647927	51023
927	648613	50323
928	649288	49622
929	650012	48925
930	650731	48228
931	651424	47528
932	652104	46828
933	652839	46132
934	653519	45431
935	654207	44732
936	654925	44034
937	655639	43336
938	656281	42633
939	656907	41930
940	657619	41232
941	658330	40534
942	659028	39835
943	659660	39132
944	660335	38432
945	661065	37735
946	661758	37036
947	662462	36337
948	663181	35639
949	663833	34938
950	664480	34237
951	665189	33538
952	665875	32839
953	666515	32138
954	667159	31436
955	667804	30735
956	668483	30036
957	669184	29337
958	669912	28640
959	670603	27941
960	671330	27244
961	672002	26544
962	672677	25845
963	673418	25148
964	674154	24451
965	674873	23753
966	675594	23055
967	676302	22357
968	677005	21658
969	677704	20959
970	678407	20261
971	679112	19562
972	679795	18863
973	680498	18165
974	681114	17464
975	681807	16765
976	682517	16067
977	683226	15369
978	683929	14670
979	684606	13971
980	685321	13273
981	686019	12574
982	686715	11876
983	687420	11177
984	688125	10479
985	688832	9780
986	689522	9081
987	690181	8382
988	690845	7683
989	691541	6985
990	692266	6286
991	692947	5588
992	693644	4889
993	694373	4191
994	695050	3492
995	695703	2793
996	696428	2095
997	697097	1396
998	697790	698
999	698407	0
